distanceMeters,durationSeconds,effortScore
65,58,0.161
405,299,0.753
63,50,0.146
438,279,0.792
25,51,0.123
672,243,0.948
9,35,0.079
424,241,0.783
768,324,1
762,370,1
133,109,0.316
591,205,0.821
45,75,0.186
20,41,0.099
189,119,0.374
728,240,0.985
3,14,0.031
5,20,0.045
760,219,0.956
45,88,0.213
73,183,0.43
207,170,0.492
40,48,0.127
5,18,0.041
63,40,0.125
325,119,0.465
111,121,0.326
22,80,0.181
588,373,0.892
25,44,0.108
370,88,0.43
37,58,0.146
12,44,0.1
860,357,1
762,288,1
108,174,0.435
105,38,0.149
658,149,0.749
145,136,0.38
244,125,0.423
15,37,0.087
306,70,0.35
457,125,0.565
10,38,0.086
849,287,1
458,241,0.805
879,241,1
181,94,0.317
43,51,0.135
809,404,1
437,143,0.589
